sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Abruzzo,2020-02-15,2.0,2.0,36.0,9.0,0.0,-1.0
Abruzzo,2020-02-16,2.0,8.0,47.0,26.0,-1.0,-2.0
Abruzzo,2020-02-17,-1.0,2.0,11.0,7.0,1.0,-1.0
Abruzzo,2020-02-18,1.0,2.0,22.0,5.0,2.0,-1.0
Abruzzo,2020-02-19,-4.0,-1.0,-12.0,1.0,1.0,0.0
Abruzzo,2020-02-20,1.0,4.0,-3.0,5.0,1.0,0.0
Abruzzo,2020-02-21,1.0,3.0,6.0,7.0,0.0,-1.0
Abruzzo,2020-02-22,1.0,6.0,34.0,8.0,0.0,0.0
Abruzzo,2020-02-23,2.0,17.0,54.0,20.0,3.0,-2.0
Abruzzo,2020-02-24,5.0,19.0,25.0,2.0,-10.0,1.0
Abruzzo,2020-02-25,4.0,7.0,50.0,-3.0,-15.0,3.0
Abruzzo,2020-02-26,-5.0,1.0,-10.0,-11.0,-3.0,2.0
Abruzzo,2020-02-27,-3.0,3.0,-1.0,-8.0,0.0,2.0
Abruzzo,2020-02-28,-3.0,2.0,-3.0,-11.0,-1.0,2.0
Abruzzo,2020-02-29,-2.0,2.0,21.0,-7.0,0.0,1.0
Abruzzo,2020-03-01,-7.0,4.0,-2.0,-11.0,-2.0,2.0
Abruzzo,2020-03-02,-3.0,3.0,-6.0,-7.0,1.0,1.0
Abruzzo,2020-03-03,-2.0,1.0,-3.0,-10.0,1.0,1.0
Abruzzo,2020-03-04,-2.0,5.0,-4.0,-11.0,0.0,1.0
Abruzzo,2020-03-05,-4.0,7.0,13.0,-16.0,-15.0,5.0
Abruzzo,2020-03-06,-9.0,3.0,-3.0,-22.0,-16.0,6.0
Abruzzo,2020-03-07,-18.0,6.0,-17.0,-31.0,-17.0,8.0
Abruzzo,2020-03-08,-27.0,10.0,-13.0,-32.0,-9.0,7.0
Abruzzo,2020-03-09,-23.0,5.0,-6.0,-38.0,-22.0,9.0
Abruzzo,2020-03-10,-41.0,1.0,-35.0,-51.0,-31.0,15.0
Abruzzo,2020-03-11,-52.0,-18.0,-36.0,-60.0,-38.0,18.0
Abruzzo,2020-03-12,-70.0,-29.0,-61.0,-67.0,-50.0,24.0
Abruzzo,2020-03-13,-74.0,-32.0,-65.0,-72.0,-56.0,28.0
Abruzzo,2020-03-14,-82.0,-42.0,-76.0,-79.0,-61.0,27.0
