data,denominazione_regione,nuovi_positivi,totale_casi,ricoverati_con_sintomi,ingressi_terapia_intensiva,tamponi
2020-02-24,Abruzzo,0,0,0,,5
2020-02-24,Basilicata,0,0,0,,0
2020-02-24,Calabria,0,0,0,,1
2020-02-24,Campania,0,0,0,,10
2020-02-24,Emilia-Romagna,18,18,10,,148
2020-02-24,Friuli Venezia Giulia,0,0,0,,58
2020-02-24,Lazio,2,3,1,,124
2020-02-24,Liguria,0,0,0,,1
2020-02-24,Lombardia,166,172,76,,1463
2020-02-24,Marche,0,0,0,,16
2020-02-24,Molise,0,0,0,,0
2020-02-24,Piemonte,3,3,2,,141
2020-02-24,Puglia,0,0,0,,0
2020-02-24,Sardegna,0,0,0,,1
2020-02-24,Sicilia,0,0,0,,5
2020-02-24,Toscana,0,0,0,,140
2020-02-24,Umbria,0,0,0,,0
2020-02-24,Valle d'Aosta,0,0,0,,7
2020-02-24,Veneto,32,33,12,,2200
2020-02-25,Abruzzo,0,0,0,,5
2020-02-25,Basilicata,0,0,0,,0
2020-02-25,Calabria,0,0,0,,2
2020-02-25,Campania,0,0,0,,10
2020-02-25,Emilia-Romagna,8,26,15,,391
2020-02-25,Friuli Venezia Giulia,0,0,0,,89
2020-02-25,Lazio,0,3,1,,124
2020-02-25,Liguria,1,1,1,,39
2020-02-25,Lombardia,68,240,79,,3700
2020-02-25,Marche,0,0,0,,21
2020-02-25,Molise,0,0,0,,0
2020-02-25,Piemonte,0,3,2,,141
2020-02-25,Puglia,0,0,0,,0
2020-02-25,Sardegna,0,0,0,,1
2020-02-25,Sicilia,3,3,1,,5
2020-02-25,Toscana,2,2,2,,296
2020-02-25,Umbria,0,0,0,,8
2020-02-25,Valle d'Aosta,0,0,0,,7
2020-02-25,Veneto,10,43,12,,3780
2020-02-26,Abruzzo,0,0,0,,13
2020-02-26,Basilicata,0,0,0,,0
2020-02-26,Calabria,0,0,0,,3
2020-02-26,Campania,0,0,0,,10
2020-02-26,Emilia-Romagna,21,47,20,,577
2020-02-26,Friuli Venezia Giulia,0,0,0,,114
2020-02-26,Lazio,0,3,0,,124
2020-02-26,Liguria,10,11,6,,66
2020-02-26,Lombardia,18,258,79,,3208
2020-02-26,Marche,1,1,1,,28
2020-02-26,Molise,0,0,0,,0
2020-02-26,Piemonte,0,3,2,,156
2020-02-26,Puglia,0,0,0,,0
2020-02-26,Sardegna,0,0,0,,1
2020-02-26,Sicilia,0,3,1,,5
2020-02-26,Toscana,0,2,2,,363
2020-02-26,Umbria,0,0,0,,8
2020-02-26,Valle d'Aosta,0,0,0,,7
2020-02-26,Veneto,28,71,16,,4900
2020-02-27,Abruzzo,1,1,1,,33
2020-02-27,Basilicata,0,0,0,,0
2020-02-27,Calabria,0,0,0,,14
2020-02-27,Campania,3,3,2,,10
2020-02-27,Emilia-Romagna,50,97,36,,1033
2020-02-27,Friuli Venezia Giulia,0,0,0,,141
2020-02-27,Lazio,0,3,0,,552
2020-02-27,Liguria,8,19,9,,78
2020-02-27,Lombardia,145,403,172,,3320
2020-02-27,Marche,2,3,2,,46
2020-02-27,Molise,0,0,0,,0
2020-02-27,Piemonte,-1,2,2,,156
2020-02-27,Puglia,1,1,1,,0
2020-02-27,Sardegna,0,0,0,,1
2020-02-27,Sicilia,1,4,1,,5
2020-02-27,Toscana,0,2,2,,410
2020-02-27,Umbria,0,0,0,,8
2020-02-27,Valle d'Aosta,0,0,0,,9
2020-02-27,Veneto,40,111,19,,6164
2020-02-28,Abruzzo,0,1,1,,33
2020-02-28,Basilicata,0,0,0,,0
2020-02-28,Calabria,1,1,0,,21
2020-02-28,Campania,1,4,2,,213
2020-02-28,Emilia-Romagna,48,145,56,,1277
2020-02-28,Friuli Venezia Giulia,0,0,0,,169
2020-02-28,Lazio,0,3,0,,611
2020-02-28,Liguria,0,19,9,,112
2020-02-28,Lombardia,128,531,235,,4835
2020-02-28,Marche,3,6,3,,47
2020-02-28,Molise,0,0,0,,0
2020-02-28,Piemonte,9,11,7,,227
2020-02-28,Puglia,2,3,1,,242
2020-02-28,Sardegna,0,0,0,,1
2020-02-28,Sicilia,0,4,1,,5
2020-02-28,Toscana,6,8,5,,437
2020-02-28,Umbria,0,0,0,,8
2020-02-28,Valle d'Aosta,0,0,0,,9
2020-02-28,Veneto,40,151,24,,7414
2020-02-29,Abruzzo,1,2,2,,43
2020-02-29,Basilicata,0,0,0,,32
2020-02-29,Calabria,0,1,0,,27
2020-02-29,Campania,9,13,3,,373
2020-02-29,Emilia-Romagna,72,217,86,,1550
2020-02-29,Friuli Venezia Giulia,0,0,0,,189
2020-02-29,Lazio,3,6,3,,679
2020-02-29,Liguria,23,42,4,,121
2020-02-29,Lombardia,84,615,256,,5723
2020-02-29,Marche,5,11,6,,68
2020-02-29,Molise,0,0,0,,0
2020-02-29,Piemonte,0,11,7,,308
2020-02-29,Puglia,0,3,1,,252
2020-02-29,Sardegna,0,0,0,,1
2020-02-29,Sicilia,0,4,1,,6
2020-02-29,Toscana,3,11,7,,531
2020-02-29,Umbria,0,0,0,,31
2020-02-29,Valle d'Aosta,0,0,0,,9
2020-02-29,Veneto,40,191,24,,8659
2020-03-01,Abruzzo,3,5,3,,52
2020-03-01,Basilicata,0,0,0,,39
2020-03-01,Calabria,0,1,0,,35
2020-03-01,Campania,4,17,4,,373
2020-03-01,Emilia-Romagna,68,285,127,,1795
2020-03-01,Friuli Venezia Giulia,6,6,0,,243
2020-03-01,Lazio,0,6,3,,724
2020-03-01,Liguria,-17,25,12,,121
2020-03-01,Lombardia,369,984,406,,6879
2020-03-01,Marche,14,25,12,,101
2020-03-01,Molise,0,0,0,,6
2020-03-01,Piemonte,38,49,11,,362
2020-03-01,Puglia,0,3,1,,262
2020-03-01,Sardegna,0,0,0,,29
2020-03-01,Sicilia,5,9,1,,291
2020-03-01,Toscana,2,13,7,,572
2020-03-01,Umbria,2,2,0,,35
2020-03-01,Valle d'Aosta,0,0,0,,10
2020-03-01,Veneto,72,263,51,,9056
2020-03-02,Abruzzo,0,5,3,,52
2020-03-02,Basilicata,0,0,0,,39
2020-03-02,Calabria,0,1,0,,39
2020-03-02,Campania,0,17,4,,373
2020-03-02,Emilia-Romagna,50,335,148,,1973
2020-03-02,Friuli Venezia Giulia,3,9,0,,269
2020-03-02,Lazio,1,7,3,,773
2020-03-02,Liguria,-3,22,12,,121
2020-03-02,Lombardia,270,1254,478,,7925
2020-03-02,Marche,10,35,17,,137
2020-03-02,Molise,0,0,0,,13
2020-03-02,Piemonte,2,51,12,,434
2020-03-02,Puglia,1,4,2,,278
2020-03-02,Sardegna,0,0,0,,29
2020-03-02,Sicilia,-2,7,2,,307
2020-03-02,Toscana,0,13,7,,613
2020-03-02,Umbria,0,2,0,,35
2020-03-02,Valle d'Aosta,0,0,0,,11
2020-03-02,Veneto,10,273,53,,9782
2020-03-03,Abruzzo,1,6,5,,52
2020-03-03,Basilicata,1,1,0,,42
2020-03-03,Calabria,0,1,0,,39
2020-03-03,Campania,13,30,11,,405
2020-03-03,Emilia-Romagna,85,420,187,,2012
2020-03-03,Friuli Venezia Giulia,4,13,1,,354
2020-03-03,Lazio,7,14,10,,877
2020-03-03,Liguria,2,24,12,,121
2020-03-03,Lombardia,266,1520,698,,9577
2020-03-03,Marche,26,61,27,,200
2020-03-03,Molise,3,3,3,,13
2020-03-03,Piemonte,5,56,13,,458
2020-03-03,Puglia,2,6,2,,298
2020-03-03,Sardegna,1,1,1,,29
2020-03-03,Sicilia,0,7,2,,307
2020-03-03,Toscana,6,19,10,,697
2020-03-03,Umbria,6,8,1,,45
2020-03-03,Valle d'Aosta,0,0,0,,12
2020-03-03,Veneto,34,307,49,,10176
2020-03-04,Abruzzo,1,7,7,,85
2020-03-04,Basilicata,0,1,0,,48
2020-03-04,Calabria,0,1,0,,46
2020-03-04,Campania,1,31,11,,429
2020-03-04,Emilia-Romagna,124,544,256,,2500
2020-03-04,Friuli Venezia Giulia,5,18,3,,376
2020-03-04,Lazio,16,30,15,,995
2020-03-04,Liguria,2,26,10,,133
2020-03-04,Lombardia,300,1820,877,,12138
2020-03-04,Marche,23,84,34,,288
2020-03-04,Molise,0,3,3,,19
2020-03-04,Piemonte,26,82,26,,543
2020-03-04,Puglia,3,9,4,,322
